plik,emocja_prawdziwa,emocja_predykcja,zgodność,prawd_emocji_prawidłowej_%,angry_%,disgust_%,fear_%,happy_%,sad_%,surprise_%,neutral_%
FER2013/test\sad\PrivateTest_70283261.jpg,sad,angry,NIE,37.84,58.56,0.06,3.06,0.01,37.84,0.0,0.46
FER2013/test\sad\PublicTest_32730155.jpg,sad,sad,TAK,65.77,0.29,0.0,1.04,0.0,65.77,0.0,32.91
FER2013/test\sad\PrivateTest_6389977.jpg,sad,angry,NIE,1.18,96.28,0.19,1.95,0.26,1.18,0.05,0.1
FER2013/test\sad\PrivateTest_75767937.jpg,sad,fear,NIE,17.91,20.16,0.05,60.93,0.56,17.91,0.0,0.38
FER2013/test\sad\PrivateTest_7134876.jpg,sad,sad,TAK,48.57,32.79,0.75,2.33,0.03,48.57,0.06,15.47
FER2013/test\sad\PublicTest_54325763.jpg,sad,sad,TAK,99.75,0.0,0.0,0.16,0.0,99.75,0.0,0.09
FER2013/test\sad\PrivateTest_14294323.jpg,sad,sad,TAK,71.14,8.85,0.0,0.59,0.0,71.14,0.0,19.42
FER2013/test\sad\PrivateTest_51237975.jpg,sad,sad,TAK,57.92,0.0,0.0,0.0,0.0,57.92,0.0,42.07
FER2013/test\sad\PublicTest_50927771.jpg,sad,fear,NIE,14.31,2.0,0.01,41.92,0.73,14.31,0.03,41.01
FER2013/test\sad\PublicTest_15348300.jpg,sad,sad,TAK,78.52,0.22,0.0,13.76,0.19,78.52,0.0,7.31
FER2013/test\sad\PublicTest_28587428.jpg,sad,neutral,NIE,0.13,0.0,0.0,0.98,11.17,0.13,0.03,87.69
FER2013/test\sad\PublicTest_41753361.jpg,sad,sad,TAK,75.44,0.5,0.0,0.52,0.01,75.44,0.0,23.54
FER2013/test\sad\PublicTest_2910538.jpg,sad,fear,NIE,0.03,0.0,0.0,99.97,0.0,0.03,0.0,0.0
FER2013/test\sad\PublicTest_71813736.jpg,sad,sad,TAK,98.07,1.87,0.0,0.07,0.0,98.07,0.0,0.0
FER2013/test\sad\PublicTest_89491736.jpg,sad,neutral,NIE,21.55,0.0,0.0,0.08,0.85,21.55,0.0,77.52
FER2013/test\sad\PublicTest_93125933.jpg,sad,sad,TAK,95.01,0.0,0.0,0.19,0.0,95.01,0.0,4.8
FER2013/test\sad\PublicTest_53807292.jpg,sad,angry,NIE,5.82,45.49,0.0,22.13,0.21,5.82,6.32,20.03
FER2013/test\sad\PublicTest_33096127.jpg,sad,sad,TAK,71.74,8.02,3.06,9.47,1.28,71.74,0.06,6.38
FER2013/test\sad\PublicTest_48143515.jpg,sad,sad,TAK,76.71,3.17,0.06,16.44,0.09,76.71,0.0,3.53
FER2013/test\sad\PublicTest_98833450.jpg,sad,neutral,NIE,5.52,3.49,0.01,1.04,0.2,5.52,0.0,89.74
FER2013/test\sad\PrivateTest_3019695.jpg,sad,surprise,NIE,0.05,0.0,0.0,0.61,0.0,0.05,98.29,1.04
FER2013/test\sad\PublicTest_35827395.jpg,sad,angry,NIE,0.58,98.21,0.0,0.55,0.06,0.58,0.37,0.23
FER2013/test\sad\PublicTest_80584730.jpg,sad,happy,NIE,0.01,0.68,0.01,0.14,97.69,0.01,0.01,1.46
FER2013/test\sad\PrivateTest_57057024.jpg,sad,sad,TAK,89.33,1.06,0.0,5.69,0.0,89.33,0.0,3.91
FER2013/test\sad\PrivateTest_50954914.jpg,sad,happy,NIE,4.91,1.11,0.0,40.35,52.72,4.91,0.62,0.29
FER2013/test\sad\PublicTest_14475126.jpg,sad,angry,NIE,25.0,50.5,0.02,2.72,0.17,25.0,0.17,21.42
FER2013/test\sad\PublicTest_73462902.jpg,sad,sad,TAK,99.57,0.16,0.0,0.1,0.0,99.57,0.0,0.16
FER2013/test\sad\PrivateTest_69363115.jpg,sad,happy,NIE,0.0,0.47,0.0,0.11,99.42,0.0,0.0,0.0
FER2013/test\sad\PublicTest_65608841.jpg,sad,happy,NIE,0.01,0.0,0.0,0.0,98.48,0.01,0.0,1.51
FER2013/test\sad\PrivateTest_93913947.jpg,sad,angry,NIE,17.17,77.52,0.01,1.43,0.14,17.17,0.01,3.71
FER2013/test\sad\PublicTest_89161552.jpg,sad,happy,NIE,0.05,0.0,0.0,0.0,99.91,0.05,0.0,0.04
FER2013/test\sad\PrivateTest_54745562.jpg,sad,angry,NIE,0.39,97.01,0.0,2.61,0.0,0.39,0.0,0.0
FER2013/test\sad\PublicTest_97750311.jpg,sad,sad,TAK,99.45,0.04,0.0,0.0,0.41,99.45,0.0,0.1
FER2013/test\sad\PrivateTest_52381983.jpg,sad,sad,TAK,65.44,0.21,0.01,33.17,0.13,65.44,0.0,1.04
FER2013/test\sad\PublicTest_55865085.jpg,sad,neutral,NIE,2.08,3.14,0.01,0.02,0.05,2.08,0.01,94.7
FER2013/test\sad\PublicTest_69843457.jpg,sad,sad,TAK,81.62,3.74,0.0,14.23,0.0,81.62,0.16,0.24
FER2013/test\sad\PublicTest_99393604.jpg,sad,sad,TAK,93.56,0.0,0.0,2.24,2.72,93.56,0.0,1.48
FER2013/test\sad\PrivateTest_15444839.jpg,sad,sad,TAK,99.83,0.0,0.0,0.07,0.0,99.83,0.0,0.1
FER2013/test\sad\PublicTest_89065999.jpg,sad,sad,TAK,96.04,1.05,0.0,1.95,0.48,96.04,0.0,0.47
FER2013/test\sad\PublicTest_32829892.jpg,sad,neutral,NIE,0.0,0.0,0.0,0.01,0.02,0.0,0.04,99.93
FER2013/test\sad\PublicTest_42711133.jpg,sad,neutral,NIE,36.72,7.66,0.12,9.38,0.03,36.72,0.02,46.07
FER2013/test\sad\PublicTest_16001813.jpg,sad,fear,NIE,2.76,0.88,0.0,95.55,0.0,2.76,0.05,0.75
FER2013/test\sad\PublicTest_10760798.jpg,sad,sad,TAK,63.39,4.0,0.0,32.45,0.0,63.39,0.02,0.14
FER2013/test\sad\PublicTest_49699221.jpg,sad,fear,NIE,35.0,3.48,0.01,55.95,0.21,35.0,0.13,5.22
FER2013/test\sad\PublicTest_76577305.jpg,sad,sad,TAK,96.99,0.0,0.0,3.01,0.0,96.99,0.0,0.0
FER2013/test\sad\PublicTest_69107577.jpg,sad,sad,TAK,92.36,0.08,0.0,0.04,7.25,92.36,0.0,0.26
FER2013/test\sad\PublicTest_37314285.jpg,sad,sad,TAK,97.84,0.0,0.0,1.94,0.0,97.84,0.0,0.22
FER2013/test\sad\PublicTest_56889959.jpg,sad,fear,NIE,17.21,0.86,0.0,80.98,0.68,17.21,0.0,0.27
FER2013/test\sad\PrivateTest_59098843.jpg,sad,sad,TAK,95.23,0.04,0.0,4.56,0.0,95.23,0.0,0.17
FER2013/test\sad\PublicTest_39982771.jpg,sad,sad,TAK,58.39,1.78,0.0,2.99,1.2,58.39,0.5,35.14
FER2013/test\sad\PrivateTest_37073410.jpg,sad,sad,TAK,67.6,1.35,2.35,0.64,2.41,67.6,0.01,25.63
FER2013/test\sad\PrivateTest_56424911.jpg,sad,neutral,NIE,6.02,8.88,0.0,0.02,0.25,6.02,0.01,84.81
FER2013/test\sad\PublicTest_11314873.jpg,sad,sad,TAK,59.03,4.47,0.0,12.71,1.68,59.03,0.02,22.09
FER2013/test\sad\PublicTest_31756938.jpg,sad,neutral,NIE,11.64,0.1,0.0,0.45,0.0,11.64,0.0,87.81
FER2013/test\sad\PrivateTest_24635993.jpg,sad,sad,TAK,68.76,3.69,0.01,25.5,0.01,68.76,0.02,2.0
FER2013/test\sad\PrivateTest_24655069.jpg,sad,sad,TAK,59.06,0.0,0.0,0.34,0.0,59.06,0.0,40.6
FER2013/test\sad\PublicTest_95058441.jpg,sad,sad,TAK,99.98,0.0,0.0,0.0,0.0,99.98,0.0,0.02
FER2013/test\sad\PublicTest_60435499.jpg,sad,fear,NIE,0.0,11.79,0.0,87.07,1.06,0.0,0.07,0.01
FER2013/test\sad\PrivateTest_93541885.jpg,sad,disgust,NIE,0.0,31.93,68.07,0.0,0.0,0.0,0.0,0.0
FER2013/test\sad\PrivateTest_11721576.jpg,sad,sad,TAK,98.41,1.44,0.0,0.04,0.05,98.41,0.0,0.05
FER2013/test\sad\PublicTest_84511668.jpg,sad,angry,NIE,8.68,90.7,0.0,0.09,0.2,8.68,0.0,0.33
FER2013/test\sad\PublicTest_69545620.jpg,sad,angry,NIE,6.9,61.39,0.0,5.73,0.0,6.9,0.0,25.98
FER2013/test\sad\PublicTest_9116046.jpg,sad,angry,NIE,3.65,73.33,1.72,20.37,0.03,3.65,0.78,0.12
FER2013/test\sad\PublicTest_84610024.jpg,sad,neutral,NIE,6.37,3.12,0.01,32.71,2.99,6.37,0.42,54.37
FER2013/test\sad\PrivateTest_25605975.jpg,sad,sad,TAK,84.29,5.02,0.0,3.81,0.02,84.29,0.01,6.85
FER2013/test\sad\PrivateTest_7451234.jpg,sad,neutral,NIE,11.64,0.55,0.0,12.85,1.5,11.64,0.01,73.46
FER2013/test\sad\PublicTest_50175956.jpg,sad,angry,NIE,1.9,57.72,0.0,19.21,10.15,1.9,0.03,10.98
FER2013/test\sad\PublicTest_37564943.jpg,sad,happy,NIE,0.0,0.83,0.0,0.0,97.96,0.0,0.0,1.21
FER2013/test\sad\PublicTest_30579707.jpg,sad,sad,TAK,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
FER2013/test\sad\PrivateTest_11127811.jpg,sad,sad,TAK,96.88,0.0,0.0,0.0,1.45,96.88,0.0,1.66
FER2013/test\sad\PrivateTest_41997071.jpg,sad,angry,NIE,22.04,30.61,0.0,1.19,17.03,22.04,0.11,29.01
FER2013/test\sad\PrivateTest_57245161.jpg,sad,neutral,NIE,13.74,1.59,0.0,10.74,0.0,13.74,0.0,73.93
FER2013/test\sad\PublicTest_77880610.jpg,sad,sad,TAK,85.63,2.19,0.01,10.89,0.02,85.63,0.5,0.77
FER2013/test\sad\PublicTest_90195753.jpg,sad,sad,TAK,95.44,0.02,0.0,4.38,0.0,95.44,0.0,0.15
FER2013/test\sad\PrivateTest_53713267.jpg,sad,sad,TAK,90.05,2.37,0.02,6.9,0.35,90.05,0.01,0.31
FER2013/test\sad\PrivateTest_2933316.jpg,sad,fear,NIE,0.21,0.13,0.0,95.29,0.34,0.21,1.8,2.23
FER2013/test\sad\PublicTest_48059828.jpg,sad,sad,TAK,95.12,0.0,0.0,4.09,0.0,95.12,0.0,0.78
FER2013/test\sad\PublicTest_89930232.jpg,sad,angry,NIE,0.13,99.14,0.22,0.5,0.0,0.13,0.0,0.01
FER2013/test\sad\PrivateTest_69011570.jpg,sad,neutral,NIE,2.31,1.28,0.0,3.37,0.0,2.31,0.0,93.04
FER2013/test\sad\PublicTest_76990999.jpg,sad,fear,NIE,30.7,1.15,0.1,56.21,0.04,30.7,0.05,11.75
FER2013/test\sad\PublicTest_23931269.jpg,sad,neutral,NIE,5.71,4.66,0.03,0.38,2.39,5.71,0.01,86.82
FER2013/test\sad\PublicTest_9129866.jpg,sad,sad,TAK,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
FER2013/test\sad\PublicTest_423747.jpg,sad,sad,TAK,91.3,0.01,0.0,1.31,0.11,91.3,0.0,7.28
FER2013/test\sad\PublicTest_86086159.jpg,sad,happy,NIE,18.59,28.09,0.01,0.22,46.1,18.59,0.01,6.97
FER2013/test\sad\PublicTest_61990960.jpg,sad,sad,TAK,73.91,0.0,0.0,26.07,0.0,73.91,0.0,0.02
FER2013/test\sad\PublicTest_91140402.jpg,sad,sad,TAK,90.92,4.94,0.03,4.07,0.0,90.92,0.0,0.05
FER2013/test\sad\PublicTest_77601313.jpg,sad,neutral,NIE,2.78,0.32,0.0,0.15,0.01,2.78,0.0,96.74
FER2013/test\sad\PublicTest_93955309.jpg,sad,sad,TAK,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
FER2013/test\sad\PublicTest_63973159.jpg,sad,sad,TAK,73.32,13.3,0.18,8.08,0.06,73.32,0.01,5.06
FER2013/test\sad\PublicTest_78074054.jpg,sad,sad,TAK,99.17,0.06,0.0,0.59,0.09,99.17,0.0,0.09
FER2013/test\sad\PrivateTest_1565308.jpg,sad,sad,TAK,91.92,0.01,0.0,3.09,0.87,91.92,0.0,4.11
FER2013/test\sad\PrivateTest_65376947.jpg,sad,sad,TAK,99.72,0.02,0.0,0.01,0.0,99.72,0.0,0.25
FER2013/test\sad\PublicTest_31246071.jpg,sad,neutral,NIE,7.07,20.8,0.0,5.88,0.21,7.07,0.05,65.99
FER2013/test\sad\PublicTest_37567574.jpg,sad,sad,TAK,94.77,1.36,0.07,3.6,0.0,94.77,0.0,0.19
FER2013/test\sad\PublicTest_60061352.jpg,sad,sad,TAK,67.38,0.97,0.0,4.02,0.0,67.38,0.0,27.62
FER2013/test\sad\PublicTest_36293917.jpg,sad,happy,NIE,10.35,0.0,0.0,33.16,55.53,10.35,0.0,0.95
FER2013/test\sad\PublicTest_86351672.jpg,sad,angry,NIE,4.3,54.73,0.0,0.03,0.1,4.3,0.0,40.84
FER2013/test\sad\PrivateTest_28083581.jpg,sad,fear,NIE,44.41,0.02,0.0,51.68,0.74,44.41,0.0,3.14
FER2013/test\sad\PublicTest_75576721.jpg,sad,sad,TAK,74.19,4.38,0.01,19.68,0.0,74.19,0.0,1.73
FER2013/test\sad\PrivateTest_53534458.jpg,sad,neutral,NIE,4.16,0.15,0.0,14.67,0.01,4.16,0.0,81.01
FER2013/test\sad\PublicTest_84275164.jpg,sad,fear,NIE,35.69,10.49,0.24,51.75,0.04,35.69,0.03,1.76
FER2013/test\sad\PrivateTest_32359843.jpg,sad,angry,NIE,3.82,52.84,0.0,0.01,0.26,3.82,0.0,43.07
FER2013/test\sad\PublicTest_69913046.jpg,sad,fear,NIE,4.07,0.07,0.0,86.64,0.02,4.07,0.79,8.4
FER2013/test\sad\PrivateTest_97936927.jpg,sad,neutral,NIE,1.92,0.24,0.0,16.03,0.56,1.92,0.18,81.06
FER2013/test\sad\PublicTest_22869580.jpg,sad,sad,TAK,69.0,10.24,0.06,19.31,0.05,69.0,0.11,1.23
FER2013/test\sad\PublicTest_51391114.jpg,sad,sad,TAK,76.04,18.24,0.0,1.84,0.01,76.04,0.0,3.86
FER2013/test\sad\PrivateTest_53155019.jpg,sad,angry,NIE,25.19,66.32,0.06,4.8,0.22,25.19,0.32,3.09
FER2013/test\sad\PublicTest_90237200.jpg,sad,sad,TAK,59.42,14.97,0.0,2.87,0.0,59.42,0.0,22.74
FER2013/test\sad\PrivateTest_16607046.jpg,sad,happy,NIE,1.02,24.82,0.0,8.0,66.15,1.02,0.01,0.0
FER2013/test\sad\PrivateTest_95757691.jpg,sad,fear,NIE,16.31,12.22,9.46,58.77,0.04,16.31,0.0,3.2
FER2013/test\sad\PublicTest_74959699.jpg,sad,sad,TAK,78.7,5.45,0.0,15.73,0.0,78.7,0.0,0.12
FER2013/test\sad\PrivateTest_38749222.jpg,sad,sad,TAK,85.41,0.42,0.0,0.17,12.14,85.41,0.0,1.86
FER2013/test\sad\PrivateTest_62821425.jpg,sad,sad,TAK,40.64,5.2,0.0,20.56,0.0,40.64,0.0,33.61
FER2013/test\sad\PublicTest_77579523.jpg,sad,fear,NIE,17.48,21.51,0.02,37.42,0.0,17.48,0.0,23.58
FER2013/test\sad\PrivateTest_80346458.jpg,sad,sad,TAK,94.53,0.66,0.0,4.78,0.0,94.53,0.0,0.03
FER2013/test\sad\PrivateTest_91999709.jpg,sad,happy,NIE,13.65,2.32,0.0,0.47,56.55,13.65,0.0,27.0
FER2013/test\sad\PrivateTest_85153698.jpg,sad,happy,NIE,0.44,0.0,0.0,37.91,60.99,0.44,0.43,0.22
FER2013/test\sad\PublicTest_46362067.jpg,sad,sad,TAK,98.26,0.0,0.0,0.0,0.0,98.26,0.0,1.73
FER2013/test\sad\PrivateTest_80785220.jpg,sad,fear,NIE,20.96,0.06,0.0,77.52,0.01,20.96,0.0,1.45
FER2013/test\sad\PrivateTest_45923756.jpg,sad,fear,NIE,3.31,0.67,0.0,95.77,0.24,3.31,0.0,0.0
FER2013/test\sad\PrivateTest_29786962.jpg,sad,neutral,NIE,0.3,1.32,0.0,0.0,0.01,0.3,0.0,98.37
FER2013/test\sad\PublicTest_3519789.jpg,sad,sad,TAK,52.85,0.33,0.0,7.27,0.0,52.85,0.0,39.54
FER2013/test\sad\PrivateTest_72633292.jpg,sad,neutral,NIE,1.61,0.07,0.0,0.0,0.04,1.61,0.0,98.28
FER2013/test\sad\PublicTest_28336133.jpg,sad,sad,TAK,95.94,0.0,0.0,4.06,0.0,95.94,0.0,0.01
FER2013/test\sad\PrivateTest_43989721.jpg,sad,happy,NIE,0.01,1.42,0.0,0.01,96.59,0.01,0.0,1.97
FER2013/test\sad\PrivateTest_33408688.jpg,sad,neutral,NIE,0.12,0.0,0.0,0.02,0.0,0.12,0.0,99.86
FER2013/test\sad\PrivateTest_18647834.jpg,sad,neutral,NIE,3.05,0.15,0.0,0.02,0.0,3.05,0.0,96.78
FER2013/test\sad\PrivateTest_687119.jpg,sad,sad,TAK,65.51,0.98,0.0,33.51,0.0,65.51,0.0,0.0
FER2013/test\sad\PublicTest_49178232.jpg,sad,fear,NIE,0.08,0.0,0.0,78.75,2.13,0.08,2.3,16.74
FER2013/test\sad\PrivateTest_51713257.jpg,sad,sad,TAK,52.06,21.71,0.0,0.55,0.0,52.06,0.0,25.67
FER2013/test\sad\PrivateTest_52635315.jpg,sad,fear,NIE,23.26,1.56,0.0,37.61,35.96,23.26,0.0,1.61
FER2013/test\sad\PublicTest_43513297.jpg,sad,sad,TAK,99.9,0.0,0.0,0.1,0.0,99.9,0.0,0.0
FER2013/test\sad\PublicTest_38478868.jpg,sad,neutral,NIE,12.79,0.15,0.0,5.98,0.17,12.79,0.0,80.9
FER2013/test\sad\PrivateTest_59331101.jpg,sad,neutral,NIE,12.44,0.46,0.04,0.85,0.6,12.44,6.55,79.06
FER2013/test\sad\PublicTest_46544903.jpg,sad,sad,TAK,51.52,11.62,0.0,6.99,0.0,51.52,0.0,29.88
FER2013/test\sad\PrivateTest_12304340.jpg,sad,neutral,NIE,0.18,0.37,0.0,0.48,0.0,0.18,0.01,98.96
FER2013/test\sad\PublicTest_9341193.jpg,sad,sad,TAK,52.37,30.78,0.43,4.93,0.32,52.37,0.0,11.17
FER2013/test\sad\PrivateTest_78226388.jpg,sad,sad,TAK,82.34,6.4,0.02,7.47,0.0,82.34,0.0,3.76
FER2013/test\sad\PrivateTest_61575369.jpg,sad,fear,NIE,0.36,0.0,0.0,96.6,3.03,0.36,0.0,0.01
FER2013/test\sad\PublicTest_86781056.jpg,sad,fear,NIE,18.39,34.4,0.15,38.17,0.1,18.39,0.01,8.78
FER2013/test\sad\PrivateTest_11898126.jpg,sad,sad,TAK,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
FER2013/test\sad\PublicTest_31882260.jpg,sad,sad,TAK,98.77,0.45,0.0,0.71,0.0,98.77,0.0,0.07
FER2013/test\sad\PrivateTest_79128619.jpg,sad,neutral,NIE,30.84,30.93,0.0,2.0,0.97,30.84,0.04,35.21
FER2013/test\sad\PrivateTest_76233862.jpg,sad,angry,NIE,36.43,46.62,0.1,15.68,0.86,36.43,0.0,0.32
FER2013/test\sad\PublicTest_72869424.jpg,sad,surprise,NIE,0.57,12.84,0.0,7.65,0.0,0.57,78.94,0.01
FER2013/test\sad\PrivateTest_35208467.jpg,sad,sad,TAK,92.84,7.16,0.0,0.0,0.0,92.84,0.0,0.0
FER2013/test\sad\PublicTest_88344769.jpg,sad,neutral,NIE,6.7,14.01,0.0,0.01,0.38,6.7,0.0,78.9
FER2013/test\sad\PublicTest_21899498.jpg,sad,sad,TAK,50.29,23.49,0.0,5.65,0.55,50.29,0.01,20.0
FER2013/test\sad\PublicTest_55147999.jpg,sad,sad,TAK,96.03,0.36,0.0,0.59,0.0,96.03,0.0,3.02
FER2013/test\sad\PublicTest_90947429.jpg,sad,disgust,NIE,0.02,0.15,99.72,0.01,0.08,0.02,0.0,0.02
FER2013/test\sad\PrivateTest_39077944.jpg,sad,sad,TAK,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
FER2013/test\sad\PrivateTest_16934951.jpg,sad,sad,TAK,40.58,3.87,0.0,22.36,4.22,40.58,0.27,28.7
FER2013/test\sad\PublicTest_35627075.jpg,sad,neutral,NIE,19.07,0.14,0.0,0.06,0.02,19.07,0.02,80.69
FER2013/test\sad\PublicTest_53341812.jpg,sad,angry,NIE,18.4,56.24,0.0,5.2,1.08,18.4,0.01,19.06
FER2013/test\sad\PublicTest_40063649.jpg,sad,fear,NIE,7.87,0.02,0.0,82.97,0.11,7.87,0.79,8.25
FER2013/test\sad\PublicTest_23355730.jpg,sad,sad,TAK,99.2,0.41,0.0,0.2,0.0,99.2,0.0,0.19
FER2013/test\sad\PublicTest_64953069.jpg,sad,surprise,NIE,0.14,25.7,0.0,34.75,0.16,0.14,38.24,1.01
FER2013/test\sad\PublicTest_3756677.jpg,sad,fear,NIE,37.37,9.7,0.0,48.03,0.0,37.37,0.18,4.72
FER2013/test\sad\PublicTest_2212492.jpg,sad,happy,NIE,0.0,0.17,0.0,0.01,99.82,0.0,0.0,0.0
FER2013/test\sad\PrivateTest_36755513.jpg,sad,angry,NIE,1.27,89.16,0.02,9.4,0.01,1.27,0.0,0.14
FER2013/test\sad\PrivateTest_19311825.jpg,sad,fear,NIE,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
FER2013/test\sad\PrivateTest_54824454.jpg,sad,neutral,NIE,36.08,0.09,0.0,27.16,0.0,36.08,0.0,36.68
FER2013/test\sad\PrivateTest_91338717.jpg,sad,neutral,NIE,11.07,0.0,0.0,0.0,0.0,11.07,0.0,88.93
FER2013/test\sad\PrivateTest_76882408.jpg,sad,neutral,NIE,12.5,0.03,0.0,0.07,4.27,12.5,0.0,83.13
FER2013/test\sad\PublicTest_45496747.jpg,sad,sad,TAK,89.71,0.45,0.0,1.24,0.0,89.71,0.0,8.6
FER2013/test\sad\PublicTest_28215339.jpg,sad,angry,NIE,0.03,99.78,0.0,0.18,0.0,0.03,0.0,0.0
FER2013/test\sad\PublicTest_88686445.jpg,sad,fear,NIE,0.0,0.0,0.0,99.64,0.01,0.0,0.35,0.0
FER2013/test\sad\PublicTest_83841294.jpg,sad,neutral,NIE,4.63,0.06,0.0,8.4,25.35,4.63,0.08,61.47
FER2013/test\sad\PublicTest_62765556.jpg,sad,sad,TAK,55.79,28.44,0.0,15.72,0.05,55.79,0.0,0.0
FER2013/test\sad\PublicTest_95840432.jpg,sad,neutral,NIE,0.77,0.12,0.0,1.68,0.0,0.77,0.14,97.3
FER2013/test\sad\PublicTest_46296079.jpg,sad,sad,TAK,89.42,0.01,0.0,0.57,6.7,89.42,0.0,3.3
FER2013/test\sad\PrivateTest_35148285.jpg,sad,angry,NIE,20.57,41.85,0.0,0.77,0.0,20.57,0.0,36.8
FER2013/test\sad\PrivateTest_73463781.jpg,sad,happy,NIE,0.0,0.98,0.0,0.0,98.07,0.0,0.0,0.95
FER2013/test\sad\PublicTest_11651237.jpg,sad,neutral,NIE,0.8,0.05,0.0,0.1,0.2,0.8,0.0,98.85
FER2013/test\sad\PrivateTest_41813428.jpg,sad,sad,TAK,99.91,0.0,0.0,0.09,0.0,99.91,0.0,0.0
FER2013/test\sad\PublicTest_21419251.jpg,sad,fear,NIE,42.29,5.68,0.0,49.4,0.0,42.29,0.0,2.63
FER2013/test\sad\PrivateTest_88734088.jpg,sad,sad,TAK,97.95,0.01,0.0,0.69,0.43,97.95,0.02,0.9
FER2013/test\sad\PublicTest_61297727.jpg,sad,neutral,NIE,16.41,15.16,0.0,0.97,0.36,16.41,0.03,67.07
FER2013/test\sad\PublicTest_88459234.jpg,sad,neutral,NIE,7.01,0.44,0.0,0.04,0.01,7.01,0.0,92.51
FER2013/test\sad\PrivateTest_86224749.jpg,sad,fear,NIE,0.78,0.0,0.0,99.22,0.0,0.78,0.0,0.0
FER2013/test\sad\PublicTest_18656306.jpg,sad,sad,TAK,45.06,0.0,0.0,42.9,0.14,45.06,0.0,11.89
FER2013/test\sad\PublicTest_99688200.jpg,sad,neutral,NIE,12.85,2.32,0.0,0.61,0.02,12.85,0.0,84.2
FER2013/test\sad\PrivateTest_94692871.jpg,sad,happy,NIE,0.0,0.0,0.0,0.0,99.92,0.0,0.0,0.08
FER2013/test\sad\PrivateTest_63876292.jpg,sad,sad,TAK,87.59,0.1,0.0,7.79,0.0,87.59,0.0,4.52
FER2013/test\sad\PublicTest_14591455.jpg,sad,happy,NIE,0.0,3.41,0.0,42.32,54.26,0.0,0.0,0.0
FER2013/test\sad\PrivateTest_40740490.jpg,sad,angry,NIE,6.72,84.48,1.29,5.35,0.5,6.72,0.12,1.55
FER2013/test\sad\PublicTest_57904634.jpg,sad,sad,TAK,82.32,6.54,0.0,8.55,1.13,82.32,0.0,1.46
FER2013/test\sad\PrivateTest_77136127.jpg,sad,angry,NIE,7.26,72.01,0.08,20.51,0.02,7.26,0.01,0.12
FER2013/test\sad\PublicTest_51670009.jpg,sad,angry,NIE,0.05,98.56,0.7,0.31,0.07,0.05,0.29,0.02
FER2013/test\sad\PrivateTest_7577600.jpg,sad,sad,TAK,82.28,3.4,0.32,10.86,0.03,82.28,0.0,3.12
FER2013/test\sad\PrivateTest_32887973.jpg,sad,sad,TAK,82.81,0.0,0.0,15.03,0.0,82.81,0.0,2.15
FER2013/test\sad\PublicTest_57856524.jpg,sad,fear,NIE,4.15,0.0,0.0,95.63,0.0,4.15,0.0,0.22
FER2013/test\sad\PublicTest_58490297.jpg,sad,neutral,NIE,1.21,0.0,0.0,0.18,1.12,1.21,0.09,97.4
FER2013/test\sad\PublicTest_823879.jpg,sad,fear,NIE,0.65,0.88,0.0,97.55,0.0,0.65,0.08,0.85
FER2013/test\sad\PublicTest_18104359.jpg,sad,sad,TAK,50.68,8.22,0.0,20.92,0.0,50.68,0.0,20.18
FER2013/test\sad\PublicTest_18767838.jpg,sad,angry,NIE,29.91,67.32,0.18,0.82,1.71,29.91,0.0,0.05
FER2013/test\sad\PrivateTest_8089222.jpg,sad,neutral,NIE,5.39,1.46,0.0,0.77,0.01,5.39,0.03,92.34
FER2013/test\sad\PublicTest_38013120.jpg,sad,sad,TAK,62.8,1.26,0.0,35.94,0.0,62.8,0.0,0.0
FER2013/test\sad\PrivateTest_1256234.jpg,sad,neutral,NIE,16.06,5.02,0.0,3.25,0.09,16.06,0.0,75.59
FER2013/test\sad\PublicTest_71209115.jpg,sad,sad,TAK,76.91,8.37,0.0,4.28,0.19,76.91,0.0,10.25
FER2013/test\sad\PrivateTest_88230664.jpg,sad,fear,NIE,0.19,0.15,0.0,99.64,0.0,0.19,0.0,0.02
FER2013/test\sad\PrivateTest_48446247.jpg,sad,neutral,NIE,1.21,9.62,0.0,0.0,0.01,1.21,0.0,89.16
FER2013/test\sad\PrivateTest_92892082.jpg,sad,neutral,NIE,0.86,0.1,0.0,0.46,0.34,0.86,16.18,82.06
FER2013/test\sad\PublicTest_89705423.jpg,sad,neutral,NIE,16.28,4.8,0.0,1.2,1.0,16.28,0.03,76.69
FER2013/test\sad\PublicTest_16294592.jpg,sad,surprise,NIE,0.4,0.23,0.0,2.27,1.43,0.4,84.74,10.92
FER2013/test\sad\PrivateTest_39577079.jpg,sad,fear,NIE,0.64,0.0,0.0,99.36,0.0,0.64,0.0,0.0
FER2013/test\sad\PublicTest_26504705.jpg,sad,neutral,NIE,8.29,41.94,0.0,2.13,0.0,8.29,0.0,47.65
FER2013/test\sad\PrivateTest_37762261.jpg,sad,sad,TAK,60.85,16.02,0.02,23.01,0.0,60.85,0.0,0.1
